,AAPL,AMZN,META,MSFT,NVDA
2024-11-12,222.8064727783203,208.91000366210938,582.0135498046875,417.2353515625,148.23118591308594
2024-11-13,223.69081115722656,214.10000610351562,577.2166137695312,419.3755798339844,146.21202087402344
2024-11-14,226.77114868164062,211.47999572753906,574.3902587890625,421.04241943359375,146.70181274414062
2024-11-15,223.5715789794922,202.61000061035156,551.4210815429688,409.3152770996094,141.9237060546875
2024-11-18,226.57241821289062,201.6999969482422,551.739501953125,410.06494140625,140.09442138671875
2024-11-19,226.8307647705078,204.61000061035156,558.3975219726562,412.06707763671875,146.95172119140625
2024-11-20,227.54620361328125,202.8800048828125,562.80615234375,409.7986145019531,145.83216857910156
2024-11-21,227.06924438476562,198.3800048828125,560.3878173828125,408.0295715332031,146.6118621826172
2024-11-22,228.41065979003906,197.1199951171875,556.4567260742188,412.11114501953125,141.8937225341797
2024-11-25,231.39163208007812,201.4499969482422,562.3980102539062,413.8801574707031,135.96609497070312
2024-11-26,233.56773376464844,207.86000061035156,570.7875366210938,422.9722595214844,136.86572265625
2024-11-27,233.4385528564453,205.74000549316406,566.468505859375,418.0309143066406,135.2863311767578
2024-11-29,235.8233184814453,207.88999938964844,571.5638427734375,418.4954528808594,138.19520568847656
2024-12-02,238.06893920898438,210.7100067138672,589.9849853515625,425.9272766113281,138.5750274658203
2024-12-03,241.10952758789062,213.44000244140625,610.7051391601562,426.14471435546875,140.20440673828125
2024-12-04,241.46722412109375,218.16000366210938,610.83447265625,432.291748046875,145.0824737548828
2024-12-05,241.49705505371094,220.5500030517578,606.0077514648438,437.4308166503906,145.0124969482422
2024-12-06,241.29833984375,227.02999877929688,620.776611328125,438.3696594238281,142.39334106445312
2024-12-09,245.18350219726562,226.08999633789062,610.62548828125,440.79095458984375,138.7645263671875
2024-12-10,246.19703674316406,225.0399932861328,616.3479614257812,438.1324462890625,135.0257568359375
2024-12-11,244.92515563964844,230.25999450683594,629.6437377929688,443.7261047363281,139.2643585205078
